Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
/All Apps/Apple App Store/Book,728x90,45,0,0,0
/All Apps/Apple App Store/Games/Puzzle,970x250,8,1,1,0
/All Apps/Google Play/Games/Arcade,300x600,104,23,22,1
Western Black sx,160x600,8,687,0,687
mogo marks cincinnati sx,320x50,26,60,10,50
mogo marks playbill sx x3e,300x250,139,589,59,530
/All Apps/Google Play/Games,160x600,9,3,2,1
University of Colorado--Shortlist- HighCTR/ high CPA ,728x90,0,4,0,4
mogo marks branding drhbx silver sx,468x60,1,1,0,1
mogo marks branding tier 1 sx xls37852,320x100,95,184,47,137
sfoc marks lal custom sx,300x250,1,3,0,3
mogo marks classical music sx,728x90,2,13,0,13
mogo marks native medium reach tail aggregate sx,468x60,0,1,0,1
CST KPI List,300x250,23,28,6,22
DO NOT USE Tier 1,Unknown,575,35,0,35
DO NOT USE Tier 1,468x60,0,1,0,1
mogo marks chicago sx,320x50,220,191,86,105
mogo marks xsl_ks0001 sx,320x100,116,206,45,161
mogo sports sx,320x100,2,9,0,9
ttd health sx,970x250,26,49,17,32
/All Apps/Apple App Store/Entertainment,970x250,11,1,1,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,300x600,5701,22947,1944,21003
mogo canada t1 sx,336x280,0,2,0,2
mogo cult soph sx,336x280,0,5,0,5
mogo marks branding comp rate platinum video sx,970x250,1059,1682,304,1378
mogo marks detroit sx,300x250,151,424,69,355
/All Apps,320x100,1,0,0,0
mogo marks video sx xsl44760 class b,320x50,706,923,249,674
ttd entertainment sx,300x50,23,607,28,579
mogo marks lal (purchase) silver sx,200x200,0,2,0,2
mogo marks xsl_ks0001 sx,300x600,4026,14748,1353,13395
mogo marks xsl_ks20780 sx,970x90,26,32,1,31
mogo sports sx,300x600,78,191,29,162
pac esports sx,250x250,0,2,0,2
ttd education sx,300x250,552,2722,196,2526
zt local austin sx,728x90,1,10,2,8
/All Apps/Apple App Store/Music,320x50,258,1,1,0
/All Apps/Google Play/Entertainment,300x600,16,4,4,0
Duxiana- Bad Site List(Allan) ,320x50,76,7,0,7
Stratford Black RT SX,728x90,3,30,1,29
magic theatre top performing sx,970x250,16,25,10,15
mogo marks high intenders sx,728x90,92,689,39,650
mogo marks nyt sx,300x250,1042,1404,319,1085
ttd female sx,300x50,8,207,4,203
/All Apps/Apple App Store/Games/Action,728x90,10,1,1,0
mogo marks branding tier 1 sx xls37852,300x600,3976,16705,1438,15267
mogo marks shakespeare sx,320x50,5,8,2,6
mogo marks xsl_74205 sx ,320x100,12,31,8,23
sfoc marks kpi sx (062018),728x90,19,452,20,432
provident shortlist ,468x60,0,1,0,1
/All Apps/Google Play/Games,300x50,22,1,0,1
5a kpi sx,300x250,10,131,5,126
Stratford KPI revised,160x600,0,35,0,35
mogo marks disney sx,300x250,12,32,4,28
mogo marks nyt sx,320x50,0,1,0,1
mogo marks perf arts silver sx,320x100,0,4,0,4
mogo marks xsl_74205 (4p dims) sx ,300x50,11,317,16,301
sfoc pslx 2018 sx (Jun_2018),728x90,225,3245,177,3068
/All Apps/Apple App Store/Medical,320x50,67,0,0,0
APACTix Sitelist sx,300x600,12,13,1,12
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,120x600,1,0,0,0
mogo marks branding increased reach sx,160x600,5312,22742,1641,21101
mogo marks seattle sx,970x250,1,14,0,14
mogo marks branding drhbx gold sx,320x100,28,115,12,103
mogo marks jazz & blues sx,300x250,8,65,3,62
Performing Arts Fort Worth sx,300x250,3,17,0,17
ttd education sx,320x50,1323,1786,329,1457
ttd health wellness sx,160x600,60,308,7,301
Android Top Selling Free Music and Audio,300x50,3,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,320x100,125,250,50,200
mogo marks branding max reach sx,160x600,5633,24406,1745,22661
mogo marks lal (purchase) gold sx,160x600,604,3784,200,3584
mogo marks native (sharethrough) unique can sx,300x600,630,1995,179,1816
sfjazz travel sx,300x600,7,24,4,20
sfoc cix sx,300x250,0,128,0,128
ttd health sx,320x100,4,4,1,3
/All Apps/Google Play/Games/Arcade,300x250,20,3,3,0
DO NOT USE Invite December Brand Safe List,970x90,10,11,1,10
DO NOT USE Spanish Language Sites,320x50,153,146,17,129
mogo marks branding comp rate platinum video sx,320x100,12,17,7,10
mogo marks kpi achievers sx,320x50,3332,4374,3077,1297
mogo marks native (sharethrough) unique us sx,970x90,1,4,0,4
mogo marks xsl_ks20780 sx,336x280,15,58,5,53
/All Apps/Apple App Store/Entertainment,320x100,1,0,0,0
/All Apps/Apple App Store/Games,970x250,28,1,1,0
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,970x250,1934,3636,644,2992
mogo marks branding drhbx gold sx,300x600,1141,6170,434,5736
mogo marks chicago sx,728x90,138,191,89,102
DO NOT USE Tier 1* (CHANNEL),300x600,3671,12822,1288,11534
/All Apps/Google Play/Social,300x50,50,0,0,0
Blacklist - Verification,300x250,0,1,0,1
mogo marks cincinnati sx,728x90,2,32,1,31
mogo marks perf arts sx 7,336x280,0,1,0,1
mogo marks video branding extended reach tail aggregate sx,468x60,1,1,0,1
/All Apps/Google Play/Education,728x90,1,0,0,0
/All Apps/Google Play/Entertainment,336x280,1,3,3,0
DO NOT USE AppNexus - Collective Media,320x50,10833,14048,5187,8861
Mogo DBM premium video sx,336x280,0,1,0,1
mogo biz-fi sx,320x50,219,521,90,431
mogo marks bwwpb sx,320x50,151,713,73,640
mogo marks native sx xsl1045 class a,160x600,16,182,3,179
