Advertiser Currency,Channel,Creative Size,Revenue (Adv Currency),Impressions,Active View: Viewable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
USD,/All Apps/Apple App Store,970x250,29.14195,1438,1282,29,3,3,0
USD,/All Apps/Google Play/Music & Audio,300x600,28.886194,1125,1030,43,5,5,0
USD,South Coast Rep Perf Arts 5 black sx,300x250,6.837817,665,585,0,0,0,0
USD,mogo marks jazz & blues sx,300x50,10.018067,1084,1012,2,19,1,18
USD,mogo mba tier 1 sx,728x90,560.58166,39527,34422,19,358,8,350
USD,/All Apps/Apple App Store/Lifestyle,300x50,12.905082,1089,1043,5,0,0,0
USD,/All Apps/Google Play/Games/Card,970x250,3.573999,213,198,3,0,0,0
USD,DO NOT USE OAM UK,320x50,754.217541,161207,151409,269,260,77,183
USD,mogo marks denver sx,300x600,139.514217,8480,7417,16,74,6,68
USD,sfoc hqcat black hx,320x50,62.713447,15709,14712,10,114,5,109
USD,ttd finance sx,250x250,1.241367,110,100,0,1,0,1
USD,ttd gaming sx,970x250,31.132294,6629,4836,5,2,0,2
USD,/All Apps/Apple App Store/Navigation,300x600,0.07107,3,2,0,0,0,0
USD,Walnut Street Theatre - In-Stream Video Blacklist,300x250,0.44463,67,43,0,0,0,0
USD,mogo marks elite kpi achievers sx,300x100,0.153683,27,20,0,0,0,0
USD,mogo marks native sx xsl1045 class c,250x250,17.193258,2491,1986,2,2,0,2
USD,mogo marks pav kpi sx,468x60,0.004844,2,0,0,0,0,0
USD,provident shortlist ,970x90,136.952722,10137,8665,7,9,0,9
USD,/All Apps/Apple App Store/Sports,300x250,74.450964,19737,15915,39,0,0,0
USD,/All Apps/Google Play/Books & Reference,300x250,3.910956,202,175,3,2,2,0
USD,/All Apps/Google Play/Tools,970x250,0.028577,5,3,0,0,0,0
USD,BBB black sx,728x90,1.039564,113,103,0,0,0,0
USD,Brandcast Blacklist ,300x600,2442.984018,678869,536774,166,1266,62,1204
USD,DO NOT USE Tier 3* (CHANNEL) (2),250x250,4.469069,562,460,0,0,0,0
USD,mogo marks branding increased reach sx,320x100,417.527733,65565,60500,109,220,32,188
USD,mogo marks disney sx,300x50,1.511433,166,156,0,7,0,7
USD,mogo marks native sx xsl1045 class a,300x250,14710.94745,3526482,2961598,2025,6299,552,5747
USD,mogo marks t1 brand sx trim,160x600,5319.343467,1777548,1599998,466,1714,146,1568
USD,mogo marks trip advisor sx,160x600,21.211682,427,320,1,34,0,34
USD,/All Apps/Google Play/Games/Adventure,970x250,0.01633,3,3,0,0,0,0
USD,Android Top Selling Free Social,160x600,0.012506,3,3,0,0,0,0
USD,Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,160x600,23823.4442,7085663,6309482,2670,10237,772,9465
